,url
45,https://www.104.com.tw/job/70w5y?jobsource=2018indexpoc
46,https://www.104.com.tw/company/b7j4cx4?jobsource=2018indexpoc
47,https://www.104.com.tw/jobs/search/?sctp=M&scmin=40000&jobsource=tag_link
48,https://www.104.com.tw/company/search/?emp=8&jobsource=tag_link
49,https://www.104.com.tw/jobs/apply/analysis/70w5y?channel=104rpt&jobsource=apply_analyze
50,https://www.104.com.tw/job/7xszd?jobsource=2018indexpoc
51,https://www.104.com.tw/company/b7j4cx4?jobsource=2018indexpoc
52,https://www.104.com.tw/jobs/search/?sctp=M&scmin=40000&jobsource=tag_link
53,https://www.104.com.tw/company/search/?emp=8&jobsource=tag_link
54,https://www.104.com.tw/jobs/apply/analysis/7xszd?channel=104rpt&jobsource=apply_analyze
55,https://www.104.com.tw/job/7xgxg?jobsource=2018indexpoc
56,https://www.104.com.tw/company/oeey0f4?jobsource=2018indexpoc
57,https://www.104.com.tw/jobs/search/?sctp=M&scmin=31000&scmax=52000&jobsource=tag_link
58,https://www.104.com.tw/company/search/?emp=7&jobsource=tag_link
59,https://www.104.com.tw/jobs/apply/analysis/7xgxg?channel=104rpt&jobsource=apply_analyze
60,https://www.104.com.tw/job/75ouu?jobsource=2018indexpoc
61,https://www.104.com.tw/company/b7j4cx4?jobsource=2018indexpoc
62,https://www.104.com.tw/jobs/search/?sctp=M&scmin=40000&jobsource=tag_link
63,https://www.104.com.tw/company/search/?emp=8&jobsource=tag_link
64,https://www.104.com.tw/jobs/apply/analysis/75ouu?channel=104rpt&jobsource=apply_analyze
65,https://www.104.com.tw/job/7cfnk?jobsource=2018indexpoc
66,https://www.104.com.tw/company/aryy6o0?jobsource=2018indexpoc
67,https://www.104.com.tw/company/search/?emp=6&jobsource=tag_link
68,https://www.104.com.tw/jobs/apply/analysis/7cfnk?channel=104rpt&jobsource=apply_analyze
69,https://www.104.com.tw/job/7eid4?jobsource=2018indexpoc
70,https://www.104.com.tw/company/159k35o8?jobsource=2018indexpoc
71,https://www.104.com.tw/jobs/search/?sctp=M&scmin=33000&scmax=40000&jobsource=tag_link
72,https://www.104.com.tw/company/search/?zone=16&jobsource=tag_link
73,https://www.104.com.tw/company/search/?emp=8&jobsource=tag_link
74,https://www.104.com.tw/jobs/search/?jobsource=landmarkPOC_A&dist=0.2&lat=24.1718064&lon=120.6719823&mrt=99003001006
75,https://www.104.com.tw/jobs/apply/analysis/7eid4?channel=104rpt&jobsource=apply_analyze
76,https://www.104.com.tw/job/7512l?jobsource=2018indexpoc
77,https://www.104.com.tw/company/1a2x6bi34e?jobsource=2018indexpoc
78,https://www.104.com.tw/jobs/search/?sctp=M&scmin=30000&scmax=80000&jobsource=tag_link
79,https://www.104.com.tw/company/search/?emp=6&jobsource=tag_link
80,https://www.104.com.tw/jobs/search/?jobsource=landmarkPOC_A&dist=0.5&lat=24.1674817&lon=120.684873&mrt=99003001005
81,https://www.104.com.tw/jobs/apply/analysis/7512l?channel=104rpt&jobsource=apply_analyze
82,https://www.104.com.tw/job/6rvut?jobsource=2018indexpoc
83,https://www.104.com.tw/company/1a2x6bkdsq?jobsource=2018indexpoc
84,https://www.104.com.tw/jobs/search/?sctp=M&scmin=40000&scmax=50000&jobsource=tag_link
85,https://www.104.com.tw/company/search/?emp=4&jobsource=tag_link
86,https://www.104.com.tw/jobs/apply/analysis/6rvut?channel=104rpt&jobsource=apply_analyze
87,https://www.104.com.tw/job/7p0q3?jobsource=2018indexpoc
88,https://www.104.com.tw/company/1a2x6bjpri?jobsource=2018indexpoc
89,https://www.104.com.tw/jobs/search/?sctp=M&scmin=28000&scmax=38000&jobsource=tag_link
90,https://www.104.com.tw/jobs/apply/analysis/7p0q3?channel=104rpt&jobsource=apply_analyze
91,https://www.104.com.tw/job/7vv90?jobsource=2018indexpoc
92,https://www.104.com.tw/company/1a2x6bkk8c?jobsource=2018indexpoc
93,https://www.104.com.tw/jobs/search/?sctp=M&scmin=35000&scmax=42000&jobsource=tag_link
94,https://www.104.com.tw/company/search/?emp=3&jobsource=tag_link
95,https://www.104.com.tw/jobs/apply/analysis/7vv90?channel=104rpt&jobsource=apply_analyze
96,https://www.104.com.tw/job/8452r?jobsource=2018indexpoc
97,https://www.104.com.tw/company/1a2x6bmf22?jobsource=2018indexpoc
98,https://www.104.com.tw/company/search/?emp=3&jobsource=tag_link
99,https://www.104.com.tw/jobs/apply/analysis/8452r?channel=104rpt&jobsource=apply_analyze
100,https://www.104.com.tw/job/7efbu?jobsource=2018indexpoc
101,https://www.104.com.tw/company/1a2x6bjwyq?jobsource=2018indexpoc
102,https://www.104.com.tw/company/search/?emp=7&jobsource=tag_link
